plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Acacia koa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia laeta,deep (>>150 cm),shallow (20-50 cm),24,32,14,45,"medium, light","heavy, medium, light",300,650,230,750,moderate,low,11,11,18,18,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),60,180
Acacia latzii,medium (50-150 cm),shallow (20-50 cm),22,35,10,44,"medium, light","heavy, medium, light",150,200,100,250,low,low,24,24,26,26,low (<4 dS/m),medium (4-10 dS/m),7.5,8,7,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,desert or arid (Bw),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,120
Acacia leptocarpa,medium (50-150 cm),shallow (20-50 cm),22,33,10,39,"medium, light","heavy, medium, light",750,1500,500,1750,low,low,80,-,20,26,low (<4 dS/m),low (<4 dS/m),4.5,6,4,6.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)",short day (<12 hours),180,300
Acacia leucophloea,deep (>>150 cm),medium (50-150 cm),22,32,12,38,"heavy, medium, light","heavy, medium, light",900,1700,600,2000,moderate,low,-,-,20,25,low (<4 dS/m),low (<4 dS/m),6,7,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,clear skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),180,300
Acacia ligulata,medium (50-150 cm),shallow (20-50 cm),18,33,8,42,"medium, light","heavy, medium, light",125,225,100,250,moderate,low,17,17,37,37,low (<4 dS/m),medium (4-10 dS/m),7,8,6.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",45,120
Acacia litakunensis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia macdonnelliensis,medium (50-150 cm),shallow (20-50 cm),24,33,8,42,light,"medium, light",200,250,150,300,low,low,21,21,26,26,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,120
Acacia maconochieana,deep (>>150 cm),medium (50-150 cm),24,36,10,42,heavy,"heavy, medium, light",250,350,200,400,moderate,,25,25,32,32,low (<4 dS/m),high (>10 dS/m)),6.5,7.5,6,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,210
Acacia macrostachya,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia macrothyrsa,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia maidenii,deep (>>150 cm),medium (50-150 cm),17,32,10,38,"heavy, organic","heavy, medium, light",900,1200,600,1300,moderate,moderate,21,21,38,38,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"subtropical humid (Cf), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,300
Acacia mangium,medium (50-150 cm),shallow (20-50 cm),22,34,12,38,medium,"heavy, medium, light",2000,3000,1000,4500,moderate,low,1,1,18,18,low (<4 dS/m),medium (4-10 dS/m),5,6.5,4,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),210,270
Acacia mearnsii,deep (>>150 cm),medium (50-150 cm),18,30,5,35,"heavy, medium, light","heavy, medium, light",700,1600,300,3000,moderate,low,20,-,44,50,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry winter (Cw), temperate oceanic (Do)",long day (>14 hours),270,300
Acacia melanoxylon,deep (>>150 cm),medium (50-150 cm),18,22,4,30,"medium, light","heavy, medium, light",800,2200,600,2700,high,moderate,34,17,43,43,low (<4 dS/m),low (<4 dS/m),6,6.5,5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"subtropical humid (Cf), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",300,365
Acacia mellifera,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia millifera,medium (50-150 cm),shallow (20-50 cm),22,32,12,40,"heavy, medium","heavy, medium, light",450,600,380,750,moderate,low,10,10,20,20,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),150,240
Acacia monticola,medium (50-150 cm),shallow (20-50 cm),20,32,12,42,"heavy, medium, light","heavy, medium, light",250,450,200,500,low,low,16,16,25,25,low (<4 dS/m),low (<4 dS/m),6,7,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),75,180
Acacia murrayana,deep (>>150 cm),medium (50-150 cm),12,34,5,42,light,"heavy, medium, light",200,400,100,500,low,low,21,21,33,33,low (<4 dS/m),low (<4 dS/m),5.5,7.5,4.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",30,180
Acacia neriifolia,deep (>>150 cm),shallow (20-50 cm),22,32,8,39,"heavy, medium, light","heavy, medium, light",600,700,400,800,high,low,23,23,32,32,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,210
Acacia nigrescens,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia nilotica,deep (>>150 cm),medium (50-150 cm),19,34,10,50,"heavy, medium, light","heavy, medium, light",400,1200,200,2300,moderate,low,-,-,30,32,low (<4 dS/m),medium (4-10 dS/m),6.5,8,5,9,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)",short day (<12 hours),90,180
Acacia nubica,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia oraria,deep (>>150 cm),medium (50-150 cm),22,32,14,38,light,light,1500,2000,1000,2150,low,low,14,8,20,22,low (<4 dS/m),medium (4-10 dS/m),5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),300,330
Acacia oswaldii,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia pachyacra,deep (>>150 cm),shallow (20-50 cm),12,30,5,38,"medium, light","medium, light",200,300,150,350,low,low,22,22,28,28,low (<4 dS/m),low (<4 dS/m),6,7,5,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",70,150
Acacia parchcarpa,medium (50-150 cm),medium (50-150 cm),25,37,10,45,heavy,"heavy, medium, light",225,300,150,350,moderate,,19,19,22,22,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,6,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,120
Acacia pendula,medium (50-150 cm),shallow (20-50 cm),20,30,4,34,"heavy, medium","heavy, medium",400,700,250,900,low,low,20,20,35,35,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry winter (Cw)",short day (<12 hours),90,210
Acacia peuce,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia plectocarpa,deep (>>150 cm),medium (50-150 cm),22,35,12,44,light,"medium, light",600,1400,400,1600,low,low,11,11,18,18,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),150,330
Acacia podalyriifolia,shallow (20-50 cm),shallow (20-50 cm),18,32,10,40,"medium, light","heavy, medium, light",700,1000,500,1200,low,low,23,23,29,29,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Acacia polyacantha,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia polystachya,medium (50-150 cm),shallow (20-50 cm),24,32,15,38,light,"medium, light",1200,2000,1000,2200,low,low,10,10,19,19,low (<4 dS/m),medium (4-10 dS/m),5,6,4.5,6.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),300,365
Acacia pruinocarpa,deep (>>150 cm),shallow (20-50 cm),22,35,8,43,light,"medium, light",200,250,125,300,low,,19,19,28,28,low (<4 dS/m),low (<4 dS/m),6,7,4.5,8,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,120
Acacia pycnantha,medium (50-150 cm),medium (50-150 cm),20,28,5,35,"heavy, medium, light","heavy, medium, light",1000,1600,600,2300,low,low,30,30,38,38,low (<4 dS/m),low (<4 dS/m),6,7,5,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,temperate oceanic (Do),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,270
Acacia rothii,shallow (20-50 cm),shallow (20-50 cm),24,34,15,40,"medium, light","medium, light",1400,1600,1200,1700,low,low,11,11,15,15,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),300,365
Acacia salicina,deep (>>150 cm),medium (50-150 cm),24,30,6,36,"heavy, medium","heavy, medium",400,600,300,700,low,low,20,19,28,37,low (<4 dS/m),high (>10 dS/m)),6,8,5,8.5,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs)",short day (<12 hours),120,240
Acacia saligna,medium (50-150 cm),shallow (20-50 cm),20,32,5,36,"medium, light","heavy, medium, light",400,700,300,1000,low,low,28,25,33,34,low (<4 dS/m),medium (4-10 dS/m),5.5,7,4.5,8,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,240
Acacia sclerosperma,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia senegal,deep (>>150 cm),shallow (20-50 cm),24,32,14,48,"medium, light","heavy, medium, light",300,800,200,2300,low,low,11,11,18,18,low (<4 dS/m),low (<4 dS/m),5,7,4.5,8,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),60,180
Acacia seyal,deep (>>150 cm),medium (50-150 cm),24,32,15,45,heavy,"heavy, medium, light",1000,1700,350,2300,moderate,low,-,-,500,2100,low (<4 dS/m),high (>10 dS/m)),6.5,7.5,5,8.3,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),150,330
Acacia shirleyi,shallow (20-50 cm),shallow (20-50 cm),18,36,10,43,light,"medium, light",500,650,400,750,low,low,14,14,28,28,low (<4 dS/m),low (<4 dS/m),4.5,6.5,4,7,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),140,300
Acacia sieberiana,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia silvestris,deep (>>150 cm),shallow (20-50 cm),15,25,8,33,"medium, light","medium, light",800,1000,600,1100,moderate,low,35,35,38,38,low (<4 dS/m),low (<4 dS/m),6,7,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,temperate oceanic (Do),long day (>14 hours),120,180
Acacia simsii,medium (50-150 cm),shallow (20-50 cm),22,32,10,40,light,"heavy, medium, light",1000,1600,700,1800,high,low,3,3,21,21,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,tropical wet & dry (Aw),short day (<12 hours),300,365
Acacia sparsiflora,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia stenophylla,deep (>>150 cm),deep (>>150 cm),18,32,5,42,heavy,medium,200,600,100,800,moderate,low,23,17,33,36,low (<4 dS/m),high (>10 dS/m)),7,8,6.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,240
Acacia sutherlandii,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia synchronicia,medium (50-150 cm),shallow (20-50 cm),18,28,5,36,"heavy, medium","heavy, medium",300,600,200,700,moderate,low,16,16,26,26,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",90,210
Acacia tephrina,medium (50-150 cm),medium (50-150 cm),22,38,10,43,"heavy, medium","heavy, medium",400,500,250,550,moderate,low,18,18,27,27,low (<4 dS/m),medium (4-10 dS/m),7,8,6.5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),100,210
Acacia tetragonophylla,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Acacia tortilis,medium (50-150 cm),shallow (20-50 cm),28,45,10,50,"medium, light","medium, light",300,800,100,1000,low,low,15,15,30,30,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",70,180
Acacia torulosa,deep (>>150 cm),medium (50-150 cm),22,36,12,43,light,"medium, light",400,700,300,800,low,low,11,11,22,22,low (<4 dS/m),medium (4-10 dS/m),5,7.5,4.5,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),120,365
Acacia trachycarpa,shallow (20-50 cm),shallow (20-50 cm),22,32,8,45,"medium, light","heavy, medium, light",250,350,150,400,low,low,20,20,24,24,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),60,150
Acacia tumida,shallow (20-50 cm),shallow (20-50 cm),22,36,12,42,light,"medium, light",400,1000,200,1500,low,low,11,11,23,23,low (<4 dS/m),low (<4 dS/m),7,8,6.5,8.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",short day (<12 hours),75,300
Acacia victoriae,deep (>>150 cm),shallow (20-50 cm),12,32,5,38,"heavy, medium, light","heavy, medium, light",300,800,100,1000,moderate,low,14,14,36,36,low (<4 dS/m),low (<4 dS/m),6,7.5,5,8.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,270
Acacia xiphohylla,medium (50-150 cm),shallow (20-50 cm),24,36,12,45,heavy,"heavy, medium",200,250,150,300,moderate,low,23,21,27,29,low (<4 dS/m),medium (4-10 dS/m),7,8,6.5,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"desert or arid (Bw), steppe or semiarid (Bs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,120
Acanthosicyos horridus,deep (>>150 cm),medium (50-150 cm),15,30,10,40,light,light,125,250,75,450,low,low,17,15,32,34,medium (4-10 dS/m),high (>10 dS/m)),6,7,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,clear skies,very bright,"desert or arid (Bw), steppe or semiarid (Bs)",,0,0
Acanthosicyos naudinianus,medium (50-150 cm),deep (>>150 cm),15,30,12,32,light,light,150,500,100,700,low,low,12,10,32,34,medium (4-10 dS/m),medium (4-10 dS/m),6,6.5,5.5,7,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs)",,0,0
Acanthus ilicifolius,deep (>>150 cm),medium (50-150 cm),18,26,15,32,heavy,"heavy, medium",1500,2500,1000,3000,high,moderate,-,-,-,-,medium (4-10 dS/m),high (>10 dS/m)),6.8,7.2,6.5,7.5,poorly (saturated >50% of year),poorly (saturated >50% of year),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),365,365
